Al,V,Cr,Fe,Co,Ni,System_Type_Input,System_Size,System_Type,Solidification Range (K),PROP RT Density (g/cm3),PROP RT Heat Cap (J/(mol K)),PROP RT Therm Cond (W/(mK)),Sconf,Yield Strength (MPa),C_11_Avg,Predicted SFE,PROP 700C VOL EXPCF (1/K)
0.25,0.45,0.1,0.1,0.05,0.05,0.01754385964912281,6,1,77.13734649185812,5.88327669699513,24.42648203941644,20.18463349466821,1.465992299532178,3318.434945575883,0.07187119245413838,17.92321135913645,4.709821982081102e-05
0.0,0.05,0.15,0.15,0.35,0.3,0.08771929824561403,5,5,5.176666739138909,8.217812364789273,25.42671413357312,17.80371025328361,1.447552194015782,2455.876642911177,0.5519065109190344,-53.63784280349041,4.519013774215012e-05
0.05,0.15,0.15,0.3,0.15,0.2,0.01754385964912281,6,1,9.332617968016166,7.672395551630722,25.5437149789941,16.24602966144229,1.686570030660947,3852.337953894915,0.2462355364137107,96.32353702281998,3.52675000677066e-05
0.1,0.2,0.45,0.0,0.15,0.1,0.1052631578947368,5,6,182.6936147141369,7.012622670832342,25.72755061191856,34.62109933618387,1.426301062116509,3414.217489879207,0.2202457454341971,-41.28070434897852,4.128037643390933e-05
0.05,0.1,0.0,0.75,0.1,0.0,0.2105263157894737,4,12,17.75386139961006,7.589046928372265,25.7154085993534,21.63565286284613,0.8260651866153443,2076.086832830643,-0.06098706740382277,-243.7232072212419,4.910836025913367e-05
0.05,0.3,0.15,0.45,0.05,0.0,0.1228070175438596,5,7,97.87193624206111,7.151976998455052,24.38668839931779,4.275026341844827,1.304661529684059,3790.268286566526,-0.0706847506051338,-37.44609819666309,3.265526296100472e-05
0.05,0.15,0.15,0.05,0.15,0.45,0.01754385964912281,6,1,25.17356121277203,7.84032264758192,25.37467095680768,17.56377003665908,1.512605683852043,4538.943074450048,0.5177706660504195,150.8906325903668,4.757959727342459e-05
0.0,0.05,0.05,0.25,0.55,0.1,0.08771929824561403,5,5,8.544817857271028,8.250395972692692,26.72183345202939,17.22182535357478,1.205215677350367,1429.401858058838,0.5429846423738283,-25.71724382221065,4.696528219473357e-05
0.45,0.05,0.25,0.0,0.15,0.1,0.1052631578947368,5,6,116.3602721097939,5.708460014017757,24.35871960915392,17.69890348009466,1.370515174287956,2966.11764500179,0.3148951334789928,-299.0555757112301,4.882075484974945e-05
0.1,0.0,0.15,0.1,0.05,0.6,0.07017543859649122,5,4,20.03625001849082,7.903118608589707,25.88937792097568,29.60368340464925,1.201367004268985,2820.949416871525,0.5740172286180236,140.5887781476886,3.259656450964928e-05
0.0,0.6,0.15,0.05,0.1,0.1,0.08771929824561403,5,5,181.612965770081,7.217109140677143,24.34783325952594,8.754938757837385,1.201367004268985,4509.18711034278,0.1017400567141764,97.6023108402789,3.487642048209526e-05
0.1,0.05,0.45,0.05,0.3,0.05,0.01754385964912281,6,1,79.49610397622087,7.340275501517996,25.36351694652694,30.8656765302732,1.400138654928281,2897.445805805274,0.3224593263760154,-183.1790102700348,3.517678507964002e-05
0.55,0.0,0.0,0.0,0.4,0.05,0.456140350877193,3,26,181.422417048647,5.502700853147815,24.66226503020152,24.00639232774831,0.8451132568429528,3528.663421722503,0.5344506811566746,-313.1116814066908,3.736822115345519e-05
0.35,0.25,0.15,0.0,0.1,0.15,0.1052631578947368,5,6,43.34854771248501,5.825292183744935,24.80192946677562,27.05779242858124,1.513405838619679,3970.064899601333,0.2700918370889359,-203.1350667016761,4.557457477625504e-05
0.1,0.1,0.2,0.05,0.45,0.1,0.01754385964912281,6,1,29.60472031162612,7.593399375542838,25.91713790752692,7.659164885363201,1.52177818736073,3664.946626021987,0.5043878632326104,-8.63079727669361,4.047370209042864e-05
0.0,0.15,0.05,0.1,0.7,0.0,0.1403508771929824,4,8,33.06099258009385,8.065659492315763,25.79010294721229,8.014976071794644,0.9142855814670989,3314.54132912057,0.6141656370714511,-170.7926046064709,4.014387829470044e-05
0.2,0.2,0.1,0.25,0.05,0.2,0.01754385964912281,6,1,49.92070142429111,6.800645580838479,27.05099483500817,13.91269841210041,1.692281460717537,4371.12792634662,0.1905708348381854,198.8732722488878,3.217041463731955e-05
0.25,0.35,0.0,0.0,0.0,0.4,0.6666666666666666,3,38,77.99161179333896,6.683341563917276,27.21578485216014,19.45027736419778,1.080527626604172,5794.851411379854,0.36687471543802,37.94122885759455,4.721518886493305e-05
0.25,0.1,0.45,0.05,0.1,0.05,0.01754385964912281,6,1,201.2855711783279,6.293587420618909,24.15477368413121,28.50394767653572,1.465992299532178,2303.474749827479,0.1626415072184096,-101.0204334168934,4.276904039253452e-05
0.05,0.0,0.05,0.45,0.05,0.4,0.07017543859649122,5,4,13.37500436642586,8.003271802436409,25.75720729146269,36.12047576005968,1.175204597080758,1092.198083401055,0.316834670119255,190.0244251123321,4.331966101791527e-05
0.4,0.15,0.0,0.05,0.05,0.35,0.05263157894736842,5,3,37.67586086820211,6.076293711859269,27.39906193892239,34.90089314523985,1.318095261412481,4917.413661033955,0.413617548468339,-190.8458051746553,5.377786389341833e-05
0.3,0.25,0.05,0.3,0.1,0.0,0.1228070175438596,5,7,64.96878509771705,6.103204506329383,25.25597702333471,17.80636677303486,1.449002395852638,3594.51274189264,0.06721630451750908,-71.467798075714,4.600687933207431e-05
0.35,0.15,0.15,0.05,0.3,0.0,0.1228070175438596,5,7,12.75879528775999,6.18086039693097,24.47194415435661,26.73968832150805,1.447552194015782,3515.471498461578,0.3251746776723825,-212.2265066568149,4.118011446672022e-05
0.0,0.2,0.0,0.3,0.35,0.15,0.2631578947368421,4,15,63.32010269663715,7.946730749852516,26.23454219610721,11.67099792731885,1.33508516509202,3903.954888581118,0.3744389083350425,-89.7999349165007,4.472888563390896e-05
0.1,0.2,0.3,0.2,0.15,0.05,0.01754385964912281,6,1,84.33346599244601,7.086841353592177,26.26442694236175,20.27203857327383,1.669580126981407,3566.498954133202,0.137427530895001,61.76387129551827,3.487449365279715e-05
0.05,0.0,0.0,0.1,0.05,0.8,0.1754385964912281,4,10,1.29829055230789,8.46134248486496,25.88413884586771,42.25803585043371,0.7083465777061715,491.0143962893144,0.7417871480007044,62.02682908342486,4.531103965346306e-05
0.0,0.3,0.1,0.05,0.25,0.3,0.08771929824561403,5,5,63.83665515840107,7.725883432391592,24.85784661985236,9.195667405612689,1.449002395852638,5365.87112409162,0.4520203739455307,218.8376807614355,4.312570889415313e-05
0.0,0.25,0.3,0.0,0.15,0.3,0.3333333333333333,4,19,45.99907996501997,7.519504849171935,24.40309306985,20.37578842051257,1.353525270608416,4939.834817193633,0.3717235570386755,162.9172088066003,4.444817160825958e-05
0.0,0.05,0.0,0.15,0.3,0.5,0.2631578947368421,4,15,0.323351803551077,8.498070381924023,25.37810017020092,33.42640040638409,1.142120042988335,1299.548792752966,0.6837950024568645,69.1885735286715,4.921455950499462e-05
0.3,0.05,0.05,0.05,0.45,0.1,0.01754385964912281,6,1,108.7414926117669,6.908006142215521,26.06420860684011,23.10315713153752,1.400138654928281,3664.024765608789,0.5550097695434539,139.6279813491014,3.892520088638291e-05
0.1,0.8,0.0,0.0,0.1,0.0,0.7368421052631579,3,42,125.2800407286068,6.160154254297648,24.42776554562442,20.86516479434537,0.639031859650177,2234.716284069215,0.0251283594238192,271.5415623210879,3.978117506086066e-05
0.1,0.25,0.0,0.4,0.15,0.1,0.05263157894736842,5,3,55.98685909741607,7.270170468017151,27.5792511565669,19.51812171041962,1.458174899361326,4364.830468256867,0.1393670675352631,210.8415623997531,3.767632217732903e-05
0.1,0.05,0.4,0.4,0.05,0.0,0.1228070175438596,5,7,36.77311435468187,7.118322738757923,24.41640417237068,40.48064710598709,1.262864322154128,2059.647988034579,-0.0254935468870244,-40.84829125372504,4.155526700861458e-05
